,id,POI/street
3564,3564,springhill royale suit beny suaeb/
3565,3565,sebelah borma rancabolang... obral/obral besar imah badjie
3566,3566,vi teuku umariah/78 parepare
3567,3567,kb tunas hara/harapan 57452
3568,3568,cafetaria uns/57126 jebres
3569,3569,kwitang k/kemb v 314 rt 5 3 senen
3570,3570,cluster kebayoran villas/kebayoran villas lebak rt04rw05 ampera
3571,3571,gg. darma bakti 52 petukangan utara 4 pes/pesanggrahan
3572,3572,linawati cellular janti plaza padepokan julukanaya/aulia 10a margotunggal
3573,3573,bukit bari i glu/i glugur darat ii medan timur
3574,3574,bumi daya vii 143/143 cinere
3575,3575,mar 40/40 cimahi cimahi tengah
3576,3576,toko-ho lenofa fotocopy/musicool palotot aulia agency
3577,3577,sd negeri 084 sipu/
3578,3578,singajaya rawagede bel/belakang jonggol farm rt.02 rw.05
3579,3579,perumahan adiyasa/
3580,3580,bojong rangkas nasi xi 83/83 ciampea
3581,3581,raya laswi 541 serangme/serangmekar ciparay
3582,3582,mela gg./gg. cemp 50 rt 12 10 kebon jeruk kebon jeruk
3583,3583,rt 03/gang 1 rt 03 rw 012 sebelah rias uswatun ali
3584,3584,/
3585,3585,lind mawar ci/cipondoh
3586,3586,lingk cipanas/abadijaya sukmajaya
3587,3587,mukh lut n/ngalau padang panjang timur
3588,3588,nasional pindang rumah makan/
3589,3589,jamin ginting/darat medan selayang
3590,3590,teru ryac 26/26 jatimulyo jati agung
3591,3591,banjar batusesa desa c/candikuning (the blooms garden)
3592,3592,duren duren duren 19 k/klari
3593,3593,raya mojo/mojo agung tejo mojoagung
3594,3594,"rm sarimin alamindo/jendral ac yani,"
3595,3595,yoyo sa/salon
3596,3596,curugsewu muteran masjid/76 16454 cimanggis
3597,3597,wij viii gebang/gebang raya periuk
3598,3598,jaladri sutra komplek winduaji square/lubuk bajayau
3599,3599,the ayona jl malaka iv/malaka iv no.3 rorotan
3600,3600,/
3601,3601,depan plag gereja gpdi sion buntu bayu ujung/ujung ban kec.hatonduhan
3602,3602,stasiun sagulung/pelabuhan sagulung
3603,3603,panorama building jl. tomang/tomang raya no.63
3604,3604,klegen bha w 63/63 kartoharjo
3605,3605,pendopo kencana mulia/ivory buntu serpong
3606,3606,"dewi, capital/ac yani, wonosobo warung"
3607,3607,ramadhan toko-ho/panggang sudirman
3608,3608,kalangsari raya pro 36 41352 re/rengasdengklok
3609,3609,apartement green bay tower b 15ba jl. pluit/pluit karang ayu barat no. b1
3610,3610,asrawi palapa/aulia 87 cirimekar garden residence cijerah
3611,3611,"aulia 11 lembang indonesia, perancis/"
3612,3612,palotot rengasdengklok/aulia residence toko-ho mumun
3613,3613,"rpk kedai_lee nyonya/r, e maremi"
3614,3614,xpress moneygram/
3615,3615,perum cemp/cemp no 5 98
3616,3616,hendrik & pandunusa wisma/
3617,3617,poltektrans sdp palembang/cluster sabar jayalas no.116
3618,3618,nasional goreng bangkala kumis/aulia 14 mulia cilangkap cipayung
3619,3619,marliana solusindo. emas sebelah/
3620,3620,batas tanjung tuananga sd lapangan 231 ix awin jayalas/
3621,3621,kena no 1 menteng jekan/jekan raya
3622,3622,/
3623,3623,pondokgede pesantren roudhotul islamiyah/
3624,3624,watu-watu mayj/mayj sut 67 kendari barat
3625,3625,"smk putri, husada amaliyah/ks tubun"
3626,3626,pengalangan pentol/91 61174 menganti
3627,3627,permai garden 11 binexa 12 pondokgede cirasa/
3628,3628,matahari cellular/
3629,3629,cucian mobilindo boboko/
3630,3630,toko-ho obat amat saya/ampera ilir
3631,3631,kb flamboyan/jurang jero
3632,3632,raya bun 79/79 bungursari
3633,3633,ozzi coffee dan dess/dess sriwi
3634,3634,karet aulia julukanaya residence ud ningrum/
3635,3635,uri raya/raya pasar inp suka mulya
3636,3636,prest 8/8 pagedangan
3637,3637,gg. bageh me/mekarsari cimanggis
3638,3638,itc m/mangga dua lt 1 no
3639,3639,kota kulon cile 221/221 garut kota
3640,3640,24 9/raya 24 9 semarang barat
3641,3641,gereja betari injil sepenuh balige residence/
3642,3642,trisakti mojorejo residence/kaliwates kel.
3643,3643,puskemas klender/
3644,3644,"lantai sel. anyar utama,/57 mulia lantai"
3645,3645,bun raya 15 cibeunying/cibeunying kidul
3646,3646,man kerto ix 70 mojo 11/11 gubeng
3647,3647,huta 2 ujung/ujung ban
3648,3648,pkl ibu anang sukarame karyabaru/aulia 42a tuah karyabaru tampan
3649,3649,kayuringin jaya pat sela 1 150/150 bekasi selatan
3650,3650,kiara graha rinj no 2 rt 4 walant/walantaka
3651,3651,"caturtunggal affandi/10, 55281"
3652,3652,pantai kel./
3653,3653,perkub aryono tugu jern demung sandubaya/
3654,3654,rawa indah 55 rt 1 3 14250/14250 kelapa gading
3655,3655,mari benda baru/baru pamulang
3656,3656,"boshe club/julukanaya gusti ngurah raisha kuta,"
3657,3657,gresik ppi/muteran buntu
3658,3658,ivory sarimin plaza residence/house putih
3659,3659,kapuk ped bela 11 rt 4 13 11720 ceng/cengkareng
3660,3660,asofa raya sukabumi utara/utara kebon jeruk
3661,3661,warung cakung sandy/palotot sumedang
3662,3662,kebonagung raya wagir no 27 65162/65162 pakisaji
3663,3663,arj wangunharja ci/cikarang utara
3664,3664,paradise resort/cluster ariabima medika palotot
3665,3665,rawa sela iv johar/johar baru
3666,3666,gelam jayalas bunderan/safa tangerang elok puskemas kemis
3667,3667,fafa cellular/irian jayalas sukorejo harjosari klojen
3668,3668,wij kus 14 katulampa 5 bogor timur -/- kota
3669,3669,terminal pakusari sebalah sel. sebelum alfamaret/deket persewaan tenda orws
3670,3670,jati no 99 62362 ja/jatirogo
3671,3671,dok eko rachmi/rachmi raya bogor suka caringin
3672,3672,abe cellular suryalaya toserba kel. lt.dasar/
3673,3673,kar ent 69163 kwa/kwanyar
3674,3674,pkl rio/petapahan jayalas tapung
3675,3675,fathatun suryalaya sebelah/panggang sudirman
3676,3676,palapa fitness poncol supriadi/kepuhsari kiriman
3677,3677,pupuk wahid syith/syith purwodadi kuala pesisir
3678,3678,venesa celcia/
3679,3679,toko-ho furniture/sisin xii
3680,3680,"toko-ho baju,ibu anita/jendral sudirman 34371"
3681,3681,kampung tengah ma'a 2 rt 10 3 kramat/kramat jati
3682,3682,tanjungsari gun sari 59 sada/sadananya
3683,3683,dramaga gg./gg. muso 9-10 16680
3684,3684,masjid sabilulmu/sawitri islamiyah plaza
3685,3685,"mie, ayam, uenak palotot serangkai/"
3686,3686,bankalan palotot/lorok pakjo kel.
3687,3687,perta kemi/kemiling
3688,3688,sungai landak/aulia 31 binexa 8 cilincing kel. cilincing
3689,3689,alam jaya dip ii 70 15133/15133 jatiuwung
3690,3690,0-12 1/pes kyoto 3 20-12 16968
3691,3691,"a, fung basobob sapi asli/daan mogot aulia 11 blok tinggi"
3692,3692,kedoya palotot/20b unicer indoasia. sebelah
3693,3693,9 60/rungkut kidul rung asri timur vii 13
3694,3694,"putri, canggu/residence sungaipenuh bangkong pontianak kuning"
3695,3695,ra cio pasirkuda bogor barat -/- kota
3696,3696,kristi dewaruci ll/kalibanteng timur kel. semarang plaza
3697,3697,grand perm residence no d11 tam/tambun utara
3698,3698,"pt.era telkom cab. pangkalan pesona/banyuasin iii,"
3699,3699,palotot kel./aulia 50 binexa mulia
3700,3700,bakmi plaza ix aulia 27 maremi pastry/permai bakmi
3701,3701,tk dharmawanita jembatan kempo/
3702,3702,pet 163 warulor wira/wiradesa
3703,3703,"lakars gangsar julukanaya a,/lakar santri"
3704,3704,desa dahana tabaloho perumahan brr/brr blok b
3705,3705,apartemen green bay tower f31bb jln pluit/pluit karang ayu barat no b1
3706,3706,kutamandiri toko-ho src samawa/palotot tanjung sarimin aulia cijerah 45362
3707,3707,palotot tano elmi/
3708,3708,sd lapangan simpang tigadis 42/
3709,3709,wr makan se/sekar wangi mentawa baru hulu
3710,3710,sosromenduran yogyak station pas/pas kemb
3711,3711,prapagan raya cite jeruk/jeruklegi
3712,3712,ki anwar/anwar man 855 sentosa
3713,3713,madrasah no 29 rw 1 g/gandaria selatan kel. cilandak
3714,3714,terminal mendolo/type cholay
3715,3715,junior cellular/grandpa's capital
3716,3716,robusta palotot/aulia 38 pegadaian
3717,3717,hj omih binaan nurp/palotot serangkai
3718,3718,"pengantin danone konsultan hukum rusmin widjaya sh, danone rekan/siliwangi aulia 97c 16131 kel. sel. - kuning"
3719,3719,bendul mitrasana batik/
3720,3720,siliw sawah gede/gede cianjur
3721,3721,primadona freshgirl martabak/duren jayalas bekasi warung
3722,3722,bakso & mie ayam super spec ipik g/mie ayam super spec ipik gandam
3723,3723,palotot rajeg/alfamidi tanjakan
3724,3724,wono lor i no 76 wonoku/wonokusumo 14 semampir
3725,3725,margasari pluto podomoro ll/aulia 32-18 buahbatu (margacinta)
3726,3726,anyar raya 91-92 rw 10 wijaya ku/kusuma grogol petamburan
3727,3727,panggungharjo budi harsono sun/sunaryo sewon
3728,3728,jl. bonak masigit/masigit ruko bonak
3729,3729,mie pangsit aling uenak tenan paya geli sung/sunggal
3730,3730,karet tengsin karet puskemas baruna. plaza ll/cijerah garden 8 terminal blok a
3731,3731,mangun besar 4e/
3732,3732,stasiun kalijogo kulon/68467 kalibaru
3733,3733,masjid al-furqon/
3734,3734,btn makio baji btn mak baji mang/manggala
3735,3735,jogja amazon greencell residence/cluster rajawali no.5
3736,3736,tela no 21-37/21-37 kartoharjo
3737,3737,"dahrum utama, residence cholay/paniki bawah mapanget"
3738,3738,kertajaya puc adi 14 5 60282/60282 gubeng
3739,3739,hyundai mobil indon pt h wahab affan/affan medan satria
3740,3740,raihan motorraihan motorindo lawang ginting/baturiti tulis kel. sel. - kuning
3741,3741,kiai ac fadil/aulia 84 handapherang kel.
3742,3742,tipar halim 45 me/mekarsari rt 4 6 cimanggis
3743,3743,beringin ix/sukasari kel. baruna.
3744,3744,sukarame jayalas gisa filterindo. sukses ll/aulia 17 30151
3745,3745,servis starmart maher puskemas besar/
3746,3746,haji amat ii no 1 kuku/kukusan beji
3747,3747,toko-ho sarimin kurma/parungpung panjang
3748,3748,cigugur tengah/tengah mahar mar 4 cimahi tengah
3749,3749,zahvirana sikambing rt04rw05 kel./
3750,3750,perum puri jaya 17 rt 1 2/2 pasar kemis
3751,3751,mahkota souvenir/dr. sutera
3752,3752,kem raya 11 2/2 bangka mampang prapatan
3753,3753,amalia residence/aulia 71 kedungwuni
3754,3754,jatirahayu kini julukanaya/20 garden residence 14 17414 pondokgede melati
3755,3755,tambakrejo wedi baruna. gangsar kompleks no.278 26b/daerah sebelum suramadu baru ilir kenjeran
3756,3756,"berkah abadi, rafindo cellular/palotot tajur"
3757,3757,keyzi juice/palotot puguh
3758,3758,siraja center/
3759,3759,rapih laundry mengger hilir rt09 04 sukapura dayuehkolot/dayuehkolot bandung
3760,3760,toko-ho helmy's/poncol tinggarjaya t. haryulin balikpapan sel.
3761,3761,gandaria utara alma/alma mas 31 rt 4 rw 12 kebayoran baru
3762,3762,kebond masud/
3763,3763,mang 31/31 ujung gurun padang barat
3764,3764,bakso raksasa/raksasa bang bi belimbing enim
3765,3765,-b no 263 pu/no 263 purwantoro blimbing
3766,3766,"inok shop,/mayang d, julukanaya panjaitan gunungsari uluale balikpapan tengah,"
3767,3767,. lembur sawah/sawah rt07 rw12 kel. utama no 31
3768,3768,tb 4/4 putri
3769,3769,kanwil djkn suluttenggomalut gedung keuangan negara ( gkn ) lt 5 jl bethesda 6-8/6-8 manado
3770,3770,smping satap telagawaru griya/singkil podomoro
3771,3771,"kel. kel. sawah pulorejo jayalas residence/permai binexa 11 semampir,"
3772,3772,mega lestari residence/residence blok b 3 no 1 rt 005 009 cibodas
3773,3773,bankalan tabungan negeri perumahan grahadika primadona/aulia 148 mangunharjo jayalas
3774,3774,"mekarjaya abadi, rentokil careeu k2/"
3775,3775,"pemint aulia 29, warung sayur bufat meilan/binexa kompleks"
3776,3776,jl siliw cih 270 cirendang k/kuningan
3777,3777,toko-ho kelontong/balige baruna.
3778,3778,kamal muaraenim elang laut residence/37 garden permai mulia 14470 penjaringan
3779,3779,mess langensari kai de/depan embung langensari
3780,3780,"bubur ayam, alju palotot kelapa dasar/"
3781,3781,musi raya si/sialang sako
3782,3782,pramb 2 25 jakasampurna rt 4 9/2 25 jakasampurna rt 4 9 bekasi barat
3783,3783,sitinjau suyatmi/godean sidoagung
3784,3784,kspps marhamah reco/palotot wonosobo-
3785,3785,"baliart individual/petro, kerobokan kelod"
3786,3786,/
3787,3787,/
3788,3788,11 garden residence terminal blok sereal/
3789,3789,tamansari keba unter/mulia kebalen babelan
3790,3790,sukabi lahan matrial sampoerna halte areng/bunderan gobras asgar medika bungsu
3791,3791,jl. wid 86 puli/pulisen boyolali
3792,3792,"asri, toko-ho/puskemas blok a"
3793,3793,kp.tanah koja (gg arus/arus jati) rt011 02 no.20b
3794,3794,srij neg ilir/srij neg
3795,3795,teratai putih palotot/aulia terminal malaka jayalas garden residence cijerah duren sawitindo
3796,3796,citra villa mangunjaya/mangunjaya blok k15 no.5 rt.4 rw.28 kelurahan mangun jaya
3797,3797,blau gg. iv no 12 1 60275 gen/genteng
3798,3798,kantor bpsdm hukum dan ham jalan/jalan raya gandul
3799,3799,tegal alur lin iii no rt 0012 rt 12 3/3 kalideres
3800,3800,smasul mulia/48 parfum warung
3801,3801,raya kodau 9/9 jatimakmur rt 4 13 pondok gede
3802,3802,situsaeur soek hatta 291/291 bojongloa kidul
3803,3803,wanasari raya/raya teuku umar 4 17520 cibitung
3804,3804,bapak medika/poncol sutera
3805,3805,pontianak selang/transport kalimantan
3806,3806,"dago, palotot/cikarang sel."
3807,3807,sokkolia perumahan griya dayah sokkolia/
3808,3808,ud.dua mamat/pemadam palotot
3809,3809,pejuang dewi sart 1 397/397 medan satria
3810,3810,palotot tropical/144 kepuhkiriman warunge
3811,3811,tk kemuning/
3812,3812,jendral sudirman/aulia 76 us commercial service
3813,3813,dauh puri klod tukad panc iv m den/denpasar selatan
3814,3814,jl sanrangan/sanrangan perumahan daya indah a4
3815,3815,pesanggrahan uluj/uluj raya no 41 rt 10 1 pesanggrahan
3816,3816,periuk jaya/jaya kamp bayur 4 periuk
3817,3817,pondok ranji unta/unta raya 125 ciputat timur
3818,3818,"jembatan palotot ac yani,/ruko, thermo luxor sebelah wom samarinda"
3819,3819,pasar tanjung enim/enim batu 266 31711 lawang kidul
3820,3820,sindanglaya bumi pasundan no 116 mandala/mandalajati
3821,3821,jln lunjuk jaya/jaya perumahan griya poli indah no 110 rt 48 rw 14 (cai laundry)
3822,3822,toko mayur/mayur sumberejo
3823,3823,pon timur/timur indah no 292 mustika jaya mustika jaya
3824,3824,merak 61 me/mekarsari cimanggis
3825,3825,kunciran unter merpati ll/cikundul garden residence 12 pinangsori (penang)
3826,3826,"halte sentral ptpn4 kebun air, baturiti/"
3827,3827,ennys leather/
3828,3828,baning kota yc. oev oeray no 42 78614 s/sintang
3829,3829,depan terminal ci/cikarang rt rw004 004
3830,3830,volcano leather/jendral gatot subroto
3831,3831,blambangan motorindo bengkel/bumiaji jayalas
3832,3832,telepon kuning/aulia motor binexa residence
3833,3833,paud terpadu tk kb negeri rahayu kecamatan kel./
3834,3834,keli 12 93561 kol/kolaka
3835,3835,bangka dowo aulia 22 toko-ho buahbatu/binexa kompleks
3836,3836,gg. sarim 10 52 sarijadi/sarijadi sukasari
3837,3837,lin kal p/poros utara sambas
3838,3838,kolombo atmo ilir warung julukanaya/
3839,3839,dapoer roti beri 1/1 suka pura
3840,3840,j&t express uluj/uluj raya pesanggrahan
3841,3841,toko-ho kingland fried chicken/laksamana yoseph sudaryo aulia 402
3842,3842,mad lubis 31 rt 2 p/pandau hilir medan perjuangan
3843,3843,pesona rakyat mulia rt04rw05 03 yessy salon/
3844,3844,pulo iii j 15 gunung sari/sari dukuh pakis
3845,3845,mayangan g/g 67218 mayangan
3846,3846,sdn sukatani sukarame tasikmalaya/
3847,3847,rt 2/baru jl. bay 9 rt 27 75325
3848,3848,yayasan nagamas sakti/panggang hidayah
3849,3849,parepare jayalas wijaya/55 64211
3850,3850,cipadu istiqomah/aulia 45 garden permai terminal larangan
3851,3851,jembatan raden gunawan ll perumahan griya kencana/lebak j aulia permai
3852,3852,bintara permai/aulia terminal toko-ho sukarman
3853,3853,rumah makan medika bungsu/caringin rawalumbu
3854,3854,"kranji, kampung kramat kandang/aulia 185 garden terminal binexa 10, bekasi plaza"
3855,3855,cluster purindo kencana/lantai sel. lantai
3856,3856,pondokgede semoyang buung/duda warung
3857,3857,kidney penanaman/aulia 45 pangandaran kel. pangandaran
3858,3858,"tamansari kanak kanak kusuma, mulia 11/wahid hasnur residence mojoroto"
3859,3859,toko-ho listrik wahyuning elektrik/gatot subroto
3860,3860,braga jl. abc 44-46 sumur/sumur bandung
3861,3861,kali barat iv 44 12 kali baru ci/cilincing
3862,3862,palmyra hill ciledug warung/cilendek warung kel. plaza - kuning
3863,3863,ketawanggede veteran malang/63 lowokwaru
3864,3864,gedong dalem tamansari palotot ciledug/motor 42413 jombang
3865,3865,joglo lantai/
3866,3866,warungmakan sembako & sayuran bufat yuliadi/
3867,3867,pes kaya est/est no 9 sukmajaya
3868,3868,suhail palotot/tlogosari kulon kel.
3869,3869,lines. sumbawa/
3870,3870,pagentan roning/14 singosari
3871,3871,stasiun ker api rumah sakit dr ko/komang makes belawan
3872,3872,teru ciga cob/coblong
3873,3873,warung nasional/
3874,3874,j m hary 99 damai rt 54 balikpapan/balikpapan kota
3875,3875,musholla mukmin barokah/
3876,3876,pulo sirih timur 5/5 no 119
3877,3877,4 alis studio rt 11/44 alis studio rt 11 rw 6
3878,3878,terminal rafaris/komplek nusaloka jayalas
3879,3879,kalideres green sed biz/biz park jl. daan mogot km18 rt 3 8 kalideres
3880,3880,cen no 183 kebonsari te/temanggung
3881,3881,"sebelah valerio indonesia, tbk square facili service office/magani nuha"
3882,3882,cilandak barat astra isuzu fatmawati rs. fatma/fatma raya 159 rt 4 8 cilandak
3883,3883,"ma'sum tangsi mukmin hidayah,/ponpes mukmin hidayah, (timur) cluster palotot karangan"
3884,3884,"toko-ho bangunsari mulia baroqah tero iii,/34 padangbujur bulan, selayang ll"
3885,3885,aulia 140a sebelah lee wanita nii paguyaman/
3886,3886,kara 129/129 purbayan
3887,3887,capital iza/residence merauke
3888,3888,cv jaladri labanan jayalas/
3889,3889,"atmega mandiri, baturiti angus/"
3890,3890,palotot babakan/satriajaya tambun podomoro
3891,3891,kuburan rancamahi sadede/
3892,3892,sebelah vokals electrik/bantarwaru gebang
3893,3893,toko sri safa/safa dipone
3894,3894,pasir jaya cibala no 51 rt 4 rw 4 bogor barat -/- kota
3895,3895,/
3896,3896,pangkalan kerinci/kerinci kota arbes no 20 28654 pangkalan kerinci
3897,3897,cend 2/2 no 31
3898,3898,toko-ho plastik dadi/s. supriadi
3899,3899,man i 15/15 kalimanah
3900,3900,palotot karangsono/daging sapi segar
3901,3901,pangkuan bungae cv/amuntai podomoro
3902,3902,bakmi plaza hills mulia cholay/bakmi plaza kel. bakmi
3903,3903,alfamart kalapa nung/nunggal
3904,3904,pesona sudirman/
3905,3905,wisnu kencana bird/bird bogorejo
3906,3906,128 wenang/
3907,3907,peru no 5/5 bendungan rt 3 5 cilegon
3908,3908,bud 1 kreo lara/larangan
3909,3909,jembatan dahrum/aulia terminal ledok kulon kel.
3910,3910,rawabadak podomoro dayati terusan/residence garden residence residence koja
3911,3911,pluit kar/kar indah i 19 rt 7 16 pluit
3912,3912,suka mak 12 rt 1 3 serua indah/indah ciputat
3913,3913,fotokopi rina collec mojowangi/mojowangi mojowarno
3914,3914,"rumah baju,ibu boutique/sungaipenuh penuh"
3915,3915,gg. kini kijan 69 nerogtog rt 2 1 pinang (/(penang)
3916,3916,gandu trip jamak no 16/16 rt 2 3 42116
3917,3917,san 118 me/melayu baru wajo
3918,3918,astra motorindo pinrang (honda)/sukabi rs. st. khadijah
3919,3919,warungmakan kayuara/barber ciganjur
3920,3920,lin suma peuniti baiturrah/baiturrahman
3921,3921,"kaum pulo/kec.dolo pulorejo gadung titip di, warungmakan pomini bbg tu gaspom motor nama, cengir"
3922,3922,/
3923,3923,uninet mediatama sakti sebelah jendral sudirman/616 garden kompleks binexa residence blok a
3924,3924,pakemb barat no 39 pal/palmerah rt 3 5 palmerah
3925,3925,kb kamboja/
3926,3926,mdt miftahulzannah miftahul wonokerto/palotot semarang
3927,3927,medan batang kuis toko-ho fahrozi/
3928,3928,semoet jayalas 5b/
3929,3929,jambu biji/aulia 27 satelit cakung emon
3930,3930,sarimin agung kel./
3931,3931,"ayam, geprek rfc/nyi endang geulis klangenan"
3932,3932,8 54151 pu/- sala no 88 54151 purworejo
3933,3933,jember kidul sen pr/prawiro no 31 kaliwates
3934,3934,wine win/winenet dua
3935,3935,rt 3/jl. tidar h 18 rt 3 rw 11 ciracas
3936,3936,kiospon mujiari winarni/
3937,3937,"ac yani,/dorotangga kel. dompu"
3938,3938,"mie, ayam, kebumen/palotot jensud"
3939,3939,taman sari gili air 33 83112 am/ampenan
3940,3940,toledo surabaya gemini/sukodono kel. sukodono
3941,3941,"aulia 12 bankalan central asia,/binexa residence sungaipenuh bambu"
3942,3942,pasuruan aulia mulia madona salon/balongmojo cirasa regol
3943,3943,"komplek asia, afrika baruna./jembatan beo"
3944,3944,jati layur 34 rt 18 6/6 pulo gadung
3945,3945,kele kecil 616 3 se/semarang tengah
3946,3946,sinarmas. alamindo/
3947,3947,kar jalak/jalak mekar 64 sunyaragi kesambi
3948,3948,klan ra 11/11 sidokerto rt 1 rw 6
3949,3949,tamansari royal residence danone mulia lebak ae1 cikundul garden 002 binexa 006/poris plawad podomoro
3950,3950,puskesmas blambangan umpu/jendral sudirman blambangan umpu
3951,3951,art supa 16 sungai/sungai raya sei sungai raya
3952,3952,soek hamd 66 27/27 labuhan ratu kedaton
3953,3953,jagalan kapu barat no 473 6 50613 se/semarang tengah
3954,3954,stasiun galagah hulu/walantaka residence no.278 011. dekat jembatan bakubung
3955,3955,ramadhan olivia/
3956,3956,taman bunga/bunga sukamukti
3957,3957,samoja cen no 9 40273 batunung/batununggal
3958,3958,kab.agam tiku selatan tanjung mutiara( objet wisata pantai/pantai bandar mutiara)
3959,3959,anoa 4 3/anoa 4 3 rt 4 8 15138
3960,3960,kiospon andrebina/tanjungdalam pesona
3961,3961,ud mangun bandung/puskemas baruna.
3962,3962,"loklik menjual cash & kresna motorindo yamaha murah,/cibodas cibodas"
3963,3963,pujama karyabaru ciri/
3964,3964,jl. pasir utama c 150/150 jatiendah cilengkrang
3965,3965,taman caribbean/caribbean blok i 25 no 17 desa cikupa kecamatan cikupa kabupaten tangerang
3966,3966,raya ngem 80 made 5/5 sambikerep
3967,3967,tierspace - cowor space/
3968,3968,pantai baturiti bollen/aulia 55 bandar lovebird ltd
3969,3969,talenta unter plus/
3970,3970,pon kun mas 3 jaka setia/setia bekasi selatan
3971,3971,pegadaian pers .pt/.pt warungkondang
3972,3972,aulia 39 binexa cijerah makasar/
3973,3973,masjid f/fastabiqul khai
3974,3974,tiban indah clus kamb/kamb perum tiban ciptaland sekupang
3975,3975,kajen raya 12 mang/manggala manggala
3976,3976,duku 7/7 jatiluhur jatiasih
3977,3977,desa pematang rt 07 samping ta/taman bunga poska
3978,3978,bhakti warga/fatululi oebobo
3979,3979,polsek ngaringan palotot blora/
3980,3980,kassi-kassi toddo 1/1 seta 5 25 rappocini
3981,3981,toko-ho asya'a/
3982,3982,seri 2/2 bandara sungai pinang
3983,3983,terminal terpadu merak -kelurahan : ta/tamansari
3984,3984,no 28-/sahari utara gun sah 12 no 28-6 rt 16 3 10720 sawah besar
3985,3985,utan kayu utara/utara kemu dalam 5 16b rt 13 3
3986,3986,milc indonesia sebelah/cijerah puskemas minggu
3987,3987,"pd ungu perum./kaliabang tengah, kel. bekasi podomoro"
3988,3988,kuning adiluhur/toko-ho sulitawati
3989,3989,raya tanjung/tanjung sari
3990,3990,palotot tanjung/
3991,3991,puskemas segar grahadika palotot bintang/aulia ra1 22 folk cake & cookies
3992,3992,gg. pang surya iii/iii jatinegara kaum 3 pulo gadung
3993,3993,"tempat penitipan anakita anakita asoka/perintis kemerdekaan p, a, julukanaya"
3994,3994,suko sine/sine sragen
3995,3995,bakso de stm 14/blok masjid sukamoro talang kelapa
3996,3996,tanamodindi s/swad no 16 94111 palu selatan
3997,3997,baruna. podomoro gusung/
3998,3998,"kalisari bhas tenkei/29, residence tengah"
3999,3999,asrama mahasiswa ui/srengseng sawah
4000,4000,"apotek perdana/panjawi panjunan astanalaya anyar,"
4001,4001,pinjam merah/
4002,4002,raya mun 74-86 cep/cepaka kediri
4003,4003,lin suma bagan/bagan batu bagan sinembah
4004,4004,renat sari 20 pemecutan klod/klod kel.
4005,4005,em martabak/dr. sutera
4006,4006,jl. kayu putih/putih raya n0. 48 samping stasiun lrt (pt. delameta bilano)
4007,4007,grha konsultan manajemen kabupaten aceh plaza/
4008,4008,ra simp 1 47/47 grogol selatan rt 3 5 kebayoran lama
4009,4009,pon minhajul falah pama/pamarayan pamarayan
4010,4010,sekertariat pemuda mandiri pacung tamalate kuning makassar/grahadika malengkeri
4011,4011,gatot subr gg. 16 43/43 bandara sungai pinang
4012,4012,klipang persada mas/mas blok b no 9 rt 08 rw 18
4013,4013,mawar v/
4014,4014,denai jer xi 49/49 medan denai
4015,4015,sate banana crispy ban mozarella kue cubit urip/urip sumoh pekalongan selatan
4016,4016,jakarta mulyasari/aulia 47 ummy nie
4017,4017,kasri raya kasri bulu/bululawang
4018,4018,"ac yani,/pleburan semarang sel."
4019,4019,ngronggo perumahan dhoho harmoni/
4020,4020,eriebi laundry/
4021,4021,"ngingas net d,/aulia 20 permai"
4022,4022,hinekombe pasar lama sent no 16a 99352 sen/sentani
4023,4023,gg. nusa indah tam/tampan
4024,4024,jatirejo iiia/140 jaticempaka garden 11 terminal
4025,4025,"keliat, palotot/"
4026,4026,suka su/sukawangi
4027,4027,familymart gaspom/
4028,4028,palotot satelit indona/tanjungdalam sarimin mulia sukomanunggal
4029,4029,golf residence/gunungsari kel.
4030,4030,"bankalan permata kcp imam bonjol ruko, ex kodim cluster imam bonjol/"
4031,4031,"ekamas utama, bangka palotot jatirejo indomaret/jatirejo mekarjaya jatiasih"
4032,4032,gajahmati madania/kuning baruna. kel.
4033,4033,ker 63 ubung kaja den/denpasar utara
4034,4034,bangka kalabbirang bantimurung/
4035,4035,aulia terminal kuenak balok jamaika cibeunying kaler/
4036,4036,palotot campina/8 purimas
4037,4037,pt.era moaz buana wisata kuto/kalijogo agung kebumen
4038,4038,"perm.alam singgasana d, aulia residence/kec.cerme kab.gresik"
4039,4039,cem1m1 palotot/
4040,4040,permata tni-ad mukmin/teluk bayur julukanaya terminal garden 8 terminal puskemas minggu
4041,4041,palotot pati-k/aulia 8 14 sumberagung baruna.
4042,4042,"cv davinci's adi, medika/serikat 52"
4043,4043,assyai penggi/penggilingan
4044,4044,cornel homestay/
4045,4045,rejo mulyo kenj b 19 rw 2/2 gading tambaksari
4046,4046,raziq net war internet sirna/sirna galih
4047,4047,gun keri 50 dasan agung baru sela/selaparang (selaprang)
4048,4048,sd negeri permai nongan/
4049,4049,"warungmakan mie, ayam, tigadis saudara/"
4050,4050,mister bustanul miftahul residence/simpang palen
4051,4051,masjid al-kantsar/aulia 11
4052,4052,munggut wij/wij kus 95 wungu
4053,4053,sd inpres/112 garden mulia binexa kompleks pulorejo gebang
4054,4054,vale i paku jaya ser/serpong utara
4055,4055,"rudin bright/p, sulawesi"
4056,4056,jayaraksa bar 17 43166/43166 baros
4057,4057,raya c/cikan kertajaya rumpin
4058,4058,sayang diagnostic center. jl./jl. raya sutorejo prima indah px32 no. 34-36
